InpID,Easting,Northing,Acres,LocationID,Lon_DD,Lat_DD
234,647775.389231783,4771000.99498561,9.87507274523,EFMO_InvPla_234,-91.184734,43.077327
235,647973.5625,4770974,9.87637081796,EFMO_InvPla_235,-91.182308,43.077045
237,647232.778928797,4770885.42712551,2.08958293192,EFMO_InvPla_237,-91.191426,43.076392
238,647352.09375,4770856.75,9.90132381156,EFMO_InvPla_238,-91.189969,43.076111
239,647550.264233476,4770829.74497224,9.89959844505,EFMO_InvPla_239,-91.187543,43.075830
240,647748.4375,4770802.75,9.90084325184,EFMO_InvPla_240,-91.185117,43.075548
241,647946.584852275,4770775.88608217,9.88694390278,EFMO_InvPla_241,-91.182692,43.075268
243,647325.439223381,4770658.64149418,9.85248029679,EFMO_InvPla_243,-91.190349,43.074333
244,647523.3125,4770631.5,9.87651435282,EFMO_InvPla_244,-91.187927,43.074050
245,647721.5,4770604.5,9.87642778245,EFMO_InvPla_245,-91.185501,43.073769
246,647919.713399604,4770577.61893444,9.88568535340,EFMO_InvPla_246,-91.183074,43.073488
248,647307.583316285,4770461.83406792,8.95348026226,EFMO_InvPla_248,-91.190620,43.072565
249,647496.360768217,4770433.50501439,9.87512967813,EFMO_InvPla_249,-91.188310,43.072274
250,647694.53125,4770406.5,9.87679439708,EFMO_InvPla_250,-91.185884,43.071992
251,647892.701731783,4770379.49498561,9.87508640903,EFMO_InvPla_251,-91.183459,43.071710
252,648058.944752885,4770354.41667226,6.71382938990,EFMO_InvPla_252,-91.181424,43.071452
253,647298.040908987,4770262.74687649,7.23592039286,EFMO_InvPla_253,-91.190790,43.070775
254,647469.389233476,4770235.24497224,9.89959835027,EFMO_InvPla_254,-91.188694,43.070495
255,647667.5625,4770208.25,9.90088658416,EFMO_InvPla_255,-91.186268,43.070213
256,647865.709852275,4770181.38608217,9.88700086732,EFMO_InvPla_256,-91.183843,43.069933
257,648044.70069129,4770154.33048279,7.98289936998,EFMO_InvPla_257,-91.181652,43.069654
258,647289.219212915,4770063.39228228,5.42232770376,EFMO_InvPla_258,-91.190951,43.068983
259,647442.4375,4770037,9.87637081797,EFMO_InvPla_259,-91.189077,43.068715
260,647640.625,4770010,9.87637081796,EFMO_InvPla_260,-91.186651,43.068434
261,647838.852647725,4769983.11391783,9.88700086726,EFMO_InvPla_261,-91.184225,43.068153
262,648032.066622535,4769954.2269932,9.41927464718,EFMO_InvPla_262,-91.181861,43.067856
263,647280.558213533,4769865.60114214,3.60710921435,EFMO_InvPla_263,-91.191110,43.067204
264,647415.5,4769839,9.87637081793,EFMO_InvPla_264,-91.189460,43.066939
265,647613.575039175,4769814.16862591,9.65681536086,EFMO_InvPla_265,-91.187035,43.066677
266,647811.84375,4769785,9.87683766621,EFMO_InvPla_266,-91.184609,43.066375
267,648010.014231783,4769757.99498561,9.87507274516,EFMO_InvPla_267,-91.182184,43.066094
269,647673.858945489,4769627.86716811,1.27123874272,EFMO_InvPla_269,-91.186345,43.064988
270,647783.979457068,4769604.67284133,8.13022299613,EFMO_InvPla_270,-91.184999,43.064758
271,647983.517084644,4769593.87595471,6.51827806968,EFMO_InvPla_271,-91.182553,43.064622
